round,pick,team
1,1,13
1,2,11
1,3,7
1,4,5
1,5,3
1,6,1
1,7,4
1,8,6
1,9,14
1,10,15
1,11,9
1,12,12
1,13,8
1,14,16
1,15,10
1,16,2
3,1,2
3,2,4
3,3,15
3,4,16
3,5,13
3,6,14
3,7,8
3,8,10
3,9,11
3,10,6
3,11,12
3,12,3
3,13,7
3,14,9
3,15,5
3,16,1
