fname,lname,points
Mike,Fiers,345
Wilson,Ramos,342
Mat,Latos,339
Robinson,Chirinos,338
David,Peralta,327
Michael,Pineda,321.5
Kyle,Hendricks,319
A.J.,Pollock,317
Odrisamer,Despaigne,314.5
Josh,Hamilton,313
Kevin,Kiermaier,311
Carlos,Martinez,311
Jedd,Gyorko,308
Edwin,Jackson,307.5
Gregory,Polanco,307
James,Paxton,303
Jacob,Turner,302.5
Mark,Trumbo,299
Bryce,Harper,297
Manny,Machado,296
George,Springer,295
Matt,Cain,294.5
Aaron,Sanchez,288
Tommy,La Stella,279
Stephen,Vogt,277
Shane,Greene,271
Michael,Cuddyer,263
Everth,Cabrera,262
Joe,Panik,255
Wil,Myers,253
Ryan,Zimmerman,252
Brett,Lawrie,251
Carlos,Gonzalez,246
Neftali,Feliz,244
Wilmer,Flores,241
Joey,Votto,241
Cliff,Lee,237.5
Mookie,Betts,234
Jon,Singleton,216
Kennys,Vargas,213
Tony,Cingrani,207.5
Jose,Fernandez,201
Marcus,Semien,196
Jeremy,Hellickson,183.5
Taijuan,Walker,173.5
Jimmy,Nelson,170
Avisail,Garcia,169
Oscar,Taveras,168
J.P.,Arencibia,156
Derek,Holland,146
Matt,Wieters,123
Andrew,Susac,115
Jorge,Soler,109
Javier,Baez,102
Andrew,Heaney,84.5
Trevor,May,68
Rymer,Liriano,62
Rusney,Castillo,55
Garin,Cecchini,34
Maikel,Franco,29
Eddie,Butler,27
Daniel,Norris,25.5
Joc,Pederson,8
Mark,Appel,0
Archie,Bradley,0
Kris,Bryant,0
Dylan,Bundy,0
Byron,Buxton,0
Carlos,Correa,0
Kyle,Crick,0
Matt,Davidson,0
Hunter,Dozier,0
Joey,Gallo,0
Lucas,Giolito,0
Tyler,Glasnow,0
Jon,Gray,0
Matt,Harvey,0
Francisco,Lindor,0
Ben,Lively,0
Alex,Meyer,0
Henry,Owens,0
Jurickson,Profar,0
Carlos,Rodon,0
Addison,Russell,0
Miguel,Sano,0
Corey,Seager,0
Braden,Shipley,0
Robert,Stephenson,0
Blake,Swihart,0
Noah,Syndergaard,0
Jameson,Taillon,0
Julio,Urias,0
Kyle,Zimmer,0
Alex,Guerrero,-3
